ID,DATA,LABEL
MAL_HUAI_TR_001,ഞാൻ കുറച്ച് കാലമായി മുച്ചട്ച്ചിൻ്റെ ഫേസ് വാഷ്  ഉഭയോഗിക്കുന്നുണ്ട്  നല്ല പ്രോഡക്റ്റ് ആണ്.,HUMAN
MAL_HUAI_TR_002,ഈ ഫേസ് വാഷ് തണുപ്പ് വെതറിലും ഉപയോഗിക്കാം,HUMAN
MAL_HUAI_TR_003,അണ്ണാ എനിക്ക് 14 വയസ് ആയ തേയോളു എനിക്ക് സ്കിൻകെയർ  തുടങ്ങാൻ ഇത് സഹായിച്ചു,HUMAN
MAL_HUAI_TR_004,ബ്രോ ഇതെല്ലം യൂസ്  ആക്കീട്ട് നൈറ്റ് പിന്നെ വേറെ ഫേസ് വാഷ് യൂസ് ചെയ്യാ,HUMAN
MAL_HUAI_TR_005,ഇത് ഫേസ് വാഷ് ഡെയിലി ചെയ്താ സ്കിൻകെയറിന് നല്ലതാ,HUMAN
MAL_HUAI_TR_006,ഇതൊക്കെ തേച്ച് പിന്നെ നിർത്തിയാൽ പിന്നെ പ്രോബ്ലം ഉണ്ടാകാൻ ചാൻസിണ്ട്,HUMAN
MAL_HUAI_TR_007,ബ്രൊ ഞാൻ സ്കിൻ കെയർ ഇതുവരെ ചെയ്തിട്ടില്ല എൻറെ മുഖത്തിന് ഒരു കുഴപ്പവും ഇല്ല ഞാൻ ഇതു ഫോളോ ചെയ്തിട്ട് പ്രശ്നം ആയി,HUMAN
MAL_HUAI_TR_008,മുച്ച്ടാഗ് പിന്നെ പ്രൊമോഷൻ അല്ലേ എല്ലാ യൂട്യൂബർസും  ഇതു പറയുന്നുണ്ട് അപ്പോൾ തന്നെ അറിയാം പ്രൊമോഷൻ ആണെന്ന്,HUMAN
MAL_HUAI_TR_009,പ്രോഡക്റ്റ് കൊള്ളാം ഒരെണ്ണം വാങ്ങണം എന്ന് വിചാരിച്ചിട്ട് കുറച്ചായി ഇതിന്ന് പൈസ കിട്ടിട്ട് വേണം വാങ്ങാൻ,HUMAN
MAL_HUAI_TR_010,ഈ ചുരിദാർ ഇട്ടിട്ട് നല്ല ഭംഗി ഉണ്ട്,HUMAN
MAL_HUAI_TR_011,ഈ മേക്കപ്പ് ബ്രഷ് ഓരോ സിംഗിൾ യൂസ് കഴിയുമ്പോഴും ക്ലീൻ ചെയ്യണം,HUMAN
MAL_HUAI_TR_012,കാജൽ റിമൂവറിന് ഈ പ്രോഡക്റ്റ് നല്ലതാണ്,HUMAN
MAL_HUAI_TR_013,വിഷ്കെയർ എനിക്ക് വർക്ക്  ആയില്ല. നിങ്ങൾക്കോ?,HUMAN
MAL_HUAI_TR_014,ചേച്ചി ഐബ്രോ നന്നായി വരക്കാൻ ഈ പെൻസിൽ യൂസ് ആക്കാൻ പറ്റും,HUMAN
MAL_HUAI_TR_015,ഫേസ് വിയർക്കാതിരിക്കാൻ എന്തേലും വഴി ഉണ്ടോ? ഈ ക്രീം ഇട്ടാൽ  കാര്യോം ഇല്ല. വിയർത്തു പോകും,HUMAN
MAL_HUAI_TR_016,വിഷ്കെയർ ഹെയർഗ്രോത്ത് സിറം പ്രീമെച്വർ ഗ്രെയിങ് ഉണ്ടാക്കും,HUMAN
MAL_HUAI_TR_017,വേറെ ഏതേലും സിറം യൂസ് ചെയ്യുണ്ടേൽ റെറ്റിനോൾ യൂസ് ചെയ്യുമ്പോ അത് സ്റ്റോപ്പ് ചെയ്യണം,HUMAN
MAL_HUAI_TR_018,എന്റെ പിഗ്മെന്റഡ് ലിപ്സ് ആണ്. ടിന്റഡ് ലിപ്ബാം യൂസ് ചെയ്താ ഒന്നുടെ പിഗ്മെന്റഡ് ആകും. കളർലെസ് യൂസ് ചെയ്യുന്നത് നല്ലത് ആയി തോന്നി,HUMAN
