ID,DATA,LABEL
TAM_HUAI_TR_001,இந்த சோப்பின் மணம் மிகவும் புத்துணர்ச்சியூட்டும் வகையில் உள்ளது.,AI
TAM_HUAI_TR_002,தோலை நன்கு சுத்தம் செய்ய இது மிகவும் சிறப்பானது.,AI
TAM_HUAI_TR_003,"இதைப் பயன்படுத்திய பிறகு, தோல் மிக மென்மையாக உள்ளது.",AI
TAM_HUAI_TR_004,இந்த சோப்பில் இயற்கையான மூலப்பொருட்கள் பயன்படுத்தப்பட்டுள்ளன.,AI
TAM_HUAI_TR_005,"சிறிது சோப்பு போதும், அதிக நுரை உருவாகிறது.",AI
TAM_HUAI_TR_006,இது தோல் பராமரிக்க உதவுகிறது மற்றும் தோல் சீராக இருக்க செய்யும்.,AI
TAM_HUAI_TR_007,இந்த சோப்பின் வடிவமைப்பு மற்றும் நிறம் மிகவும் அழகாக உள்ளது.,AI
TAM_HUAI_TR_008,இதன் நச்சுத்தன்மையில்லாத மூலப்பொருட்கள் அலர்ஜி ஏற்படாமல் காக்கின்றன.,AI
TAM_HUAI_TR_009,இந்த சோப்பு நீண்ட நாட்களுக்கு பயன்படும்.,AI
TAM_HUAI_TR_010,இதனை தொடர்ந்து பயன்படுத்திய பிறகு சருமம் மிகவும் சீராக உள்ளது.,AI
TAM_HUAI_TR_011,"இந்த சோப்பின் மணம் மிகவும் வலுவாக இருப்பதால், சில நேரங்களில் தலைவலியை ஏற்படுத்துகிறது.",AI
TAM_HUAI_TR_012,இதைப் பயன்படுத்திய பிறகு தோல் அதிகமாக உலர்கிறது.,AI
TAM_HUAI_TR_013,"சில நேரங்களில், இந்த சோப்பைப் பயன்படுத்தியவுடன் தோலில் அலர்ஜி ஏற்படுகிறது.",AI
TAM_HUAI_TR_014,"சோப்பு முழுமையாக இல்லாமல், சிறு சிறு துண்டுகளாக உடைகிறது.",AI
TAM_HUAI_TR_015,சிலர் பயன்படுத்தும்போது தோலில் புண்கள் அல்லது ஒவ்வாமை தோன்றுகிறது.,AI
TAM_HUAI_TR_016,இந்த சோப்பு மிகவும் விலையுயர்ந்ததாக உள்ளது.,AI
TAM_HUAI_TR_017,பெரிய அளவுக்கு கரையாது இதைப் பயன்படுத்தும்போது நிறைய சோப்பைப் பயன்படுத்த வேண்டிய நிலை ஏற்படுகிறது.,AI
TAM_HUAI_TR_018,சோப்பின் வாசனை நீண்ட நேரம் நீடிக்காது.,AI
TAM_HUAI_TR_019,சோப்பின் நிறம் கவர்ச்சியற்றதாக உள்ளது.,AI
TAM_HUAI_TR_020,இதைப் பயன்படுத்திய பிறகு சருமத்தில் எந்தவித சிறப்பான மாற்றமும் தெரியவில்லை.,AI
TAM_HUAI_TR_021," இந்த பற்பசையின் சுவை மிகவும் வலுவாக உள்ளது, சில நேரங்களில் அது அசௌகரியத்தை ஏற்படுத்துகிறது.",AI
TAM_HUAI_TR_022,அடித்தளம் இல்லை: பற்பசை பல நேரங்களில் அடிப்படையற்றதாகத் தெரிகிறது.,AI
TAM_HUAI_TR_023,பற்பசையில் அமிலம் அதிகமாக இருப்பது போன்று உணரப்படுகிறது.,AI
TAM_HUAI_TR_024,பற்பசையின் விலை மிகவும் உயர்ந்துள்ளது.,AI
TAM_HUAI_TR_025,பற்பசை பயன்படுத்தும் போது துலக்குதல் மிக மென்மையாக உள்ளது.,AI
TAM_HUAI_TR_026,பற்பசை பயன்படுத்திய பிறகு சில நேரங்களில் ஈறுகளில் இரத்தம் வருகிறது.,AI
TAM_HUAI_TR_027,பற்பசை குழாய் அளவிற்கு மிகச் சிறியது.,AI
TAM_HUAI_TR_028,பற்பசையின் சுவை நாக்கில் நீண்ட நேரம் நீடிக்கிறது.,AI
TAM_HUAI_TR_029,பற்பசை ஒவ்வொரு பயன்படுத்துதலிலும் அதிக அளவில் பயன்படுத்த வேண்டியுள்ளது.,AI
TAM_HUAI_TR_030,பற்பசை அடிக்கடி மூட முடியவில்லை.,AI
TAM_HUAI_TR_031,பற்பசையின் விளைவுகள் குறைவாகவே உள்ளது.,AI
TAM_HUAI_TR_032,பற்பசை பயன்படுத்தும்போது நுரை அதிகமாக உருவாகாது.,AI
TAM_HUAI_TR_033,பற்பசையின் நிறம் மிகவும் கவர்ச்சியற்றதாக உள்ளது.,AI
TAM_HUAI_TR_034,பற்பசை பற்களை முழுமையாக சுத்தம் செய்யவில்லை.,AI
TAM_HUAI_TR_035,பற்பசை பயன்படுத்திய பிறகு நாக்கில் தேய்வு ஏற்படுகிறது.,AI
TAM_HUAI_TR_036,பற்பசையின் குழாய் எளிதில் அழுத்த முடியவில்லை.,AI
TAM_HUAI_TR_037,பற்பசையின் மணம் அதிகம் மனதிற்கு பிடிக்கவில்லை.,AI
TAM_HUAI_TR_038,பற்பசை பற்களை வலுப்படுத்துவதில் திறமையாக இல்லை.,AI
TAM_HUAI_TR_039,சில நேரங்களில் பற்பசையை பயன்படுத்திய பிறகு வாயில் நோய் ஏற்படுகிறது.,AI
TAM_HUAI_TR_040,"பற்பசையின் மேல் பரப்பில் பராமரிப்புகள் மிகவும் அடர்த்தியாக உள்ளன, அதன் காரணமாக அவற்றை திறக்க சிரமமாக உள்ளது.",AI
TAM_HUAI_TR_041,பற்பசையின் சுவை மிகவும் இனிமையானது.,AI
TAM_HUAI_TR_042,பற்பசையை பயன்படுத்தியவுடன் வாயில் புதிய மனம் கிடைக்கிறது.,AI
TAM_HUAI_TR_043,பற்பசை பயன்படுத்துவதால் ஈறுகளில் நோய் ஏற்படாமல் காக்கிறது.,AI
TAM_HUAI_TR_044,மணத்தை நீக்கும்: வாயில் திரைமணத்தை முழுமையாக நீக்குகிறது.,AI
TAM_HUAI_TR_045,இதில் இயற்கையான மூலப்பொருட்கள் பயன்படுத்தப்பட்டுள்ளன.,AI
TAM_HUAI_TR_046,மென்மையான துலக்குதல்: பற்பசை துலக்கும்போது மென்மையாக உள்ளது.,AI
TAM_HUAI_TR_047,இது விலைக்கு ஏற்ப தரமானது.,AI
TAM_HUAI_TR_048,பற்பசை பயன்படுத்தும்போது நுரை அதிகமாக உருவாகிறது.,AI
TAM_HUAI_TR_049,பற்பசை பற்களை இரும்பாக பாதுகாக்கிறது.,AI
TAM_HUAI_TR_050,இதைப் பயன்படுத்திய பிறகு பற்கள் ஒளிர்ந்து காட்டுகின்றன.,AI
TAM_HUAI_TR_051,பற்பசை பற்களில் இருந்த அனைத்து மாசுக்களையும் சுத்தம் செய்கிறது.,AI
TAM_HUAI_TR_052,பற்பசையின் மணம் நீண்ட நேரம் வாயில் நிலைத்து இருக்கும்.,AI
TAM_HUAI_TR_053,பற்பசை ஒவ்வொரு பயனிலும் சிறிது அளவிலே போதுமானது.,AI
TAM_HUAI_TR_054,பற்பசை பயன்படுத்தியவுடன் பற்கள் மிகவும் பரிசுத்தமாகத் தெரிகின்றன.,AI
TAM_HUAI_TR_055,பற்பசை தோலை பாதுகாக்கின்றது மற்றும் எரிச்சலை ஏற்படுத்தவில்லை.,AI
TAM_HUAI_TR_056,பற்பசையைப் பயன்படுத்திய பிறகு வாயில் கூறுகள் பசைக்காமல் இருக்கின்றது.,AI
TAM_HUAI_TR_057,மிகுந்த செயல்திறன்: பற்பசையின் செயல்திறன் மிகுந்தது.,AI
TAM_HUAI_TR_058,பற்பசையின் மணம் மிகவும் கவர்ச்சியானது.,AI
TAM_HUAI_TR_059,பற்பசை பற்களை வலுவாகவும் ஆரோக்கியமாகவும் வைத்திருக்கிறது.,AI
TAM_HUAI_TR_060,பற்பசையின் இயற்கையான சுவை மிகவும் மகிழ்ச்சியானது.,AI
TAM_HUAI_TR_061,இந்த முடி எண்ணெயின் மணம் மிகவும் புத்துணர்ச்சி தரும்.,AI
TAM_HUAI_TR_062,இதைப் பயன்படுத்திய பிறகு முடி மென்மையாக மற்றும் கவர்ச்சியாக உள்ளது.,AI
TAM_HUAI_TR_063,முடி வளர்ச்சியை மேம்படுத்துகிறது.,AI
TAM_HUAI_TR_064,முடியை மினுமினுக்க வைக்கிறது.,AI
TAM_HUAI_TR_065,உலர் தலை தோல் பிரச்சனையை குறைக்கிறது.,AI
TAM_HUAI_TR_066,முடி கொட்டுதல் குறைகிறது.,AI
TAM_HUAI_TR_067,இதில் இயற்கையான மற்றும் உபயோகமான மூலப்பொருட்கள் உள்ளன.,AI
TAM_HUAI_TR_068,தலைசிறுநீர் பிரச்சனைகளை சரி செய்ய உதவுகிறது.,AI
TAM_HUAI_TR_069,இயற்கையான முடி வண்ணத்தை பாதுகாக்கிறது.,AI
TAM_HUAI_TR_070,முடி அடர்த்தியை அதிகரிக்கிறது.,AI
TAM_HUAI_TR_071,முடி வேர்களை வலுப்படுத்துகிறது.,AI
TAM_HUAI_TR_072,முடி சிகை பிரச்சனைகளை சரி செய்கிறது.,AI
TAM_HUAI_TR_073,முடிக்கு தேவையான ஊட்டச்சத்துக்களை வழங்குகிறது.,AI
TAM_HUAI_TR_074,எண்ணெய் எளிதில் முடியில் உள்ளினம் செய்யும்.,AI
TAM_HUAI_TR_075,தலை சுருக்கங்களை குறைக்க உதவுகிறது.,AI
TAM_HUAI_TR_076,முடி அடிமட்டத்தை நீடிக்க உதவுகிறது.,AI
TAM_HUAI_TR_077,எண்ணெய் தேய்த்து வந்தால் தலைவலி குறைகிறது.,AI
TAM_HUAI_TR_078,முடி பிழைகளை குறைக்க உதவுகிறது.,AI
TAM_HUAI_TR_079,நரை முடி வராமல் தடுக்கிறது.,AI
TAM_HUAI_TR_080," இந்த எண்ணெய் பயன்படுத்த எளிமையாகவும், சுலபமாகவும் உள்ளது.",AI
TAM_HUAI_TR_081,"இந்த முடி எண்ணெயின் மணம் மிகவும் வலுவாக இருக்கிறது, சிலருக்கு இது பிடிக்காது.",AI
TAM_HUAI_TR_082,"எண்ணெய் தலை தோலில் நன்றாக உட்புகாமல், கடினமாக கைவிட்டுவிடுகிறது.",AI
TAM_HUAI_TR_083,சரும இரிச்சல்: இந்த எண்ணெய் சிலருக்கு தலை தோலில் இரிச்சலை ஏற்படுத்துகிறது.,AI
TAM_HUAI_TR_084,பெரிய கட்டு: எண்ணெய் பயன்படுத்திய பிறகு முடி மீது பெரிய கட்டுகள் உருவாகிறது.,AI
TAM_HUAI_TR_085,"நெஞ்சு பருகல்: எண்ணெய் சரியாக உட்புகாமல், தலை தோலில் நெஞ்சு பருகலை ஏற்படுத்துகிறது.",AI
TAM_HUAI_TR_086,பெரும் எண்ணெய் மிச்சம்: எண்ணெய் தலை தோலில் பெரும் அளவில் மிச்சம் விடுகிறது.,AI
TAM_HUAI_TR_087,சுருக்கம் அதிகம்: எண்ணெய் பயன்பாட்டிற்கு பின்னர் தலை தோலில் அதிக சுருக்கம் ஏற்படுகிறது.,AI
TAM_HUAI_TR_088,பொட்டுகளில் எண்ணெய் படிந்துவிடும்: எண்ணெய் பொட்டுகளில் அதிகமாக படிந்துவிடுகிறது.,AI
TAM_HUAI_TR_089,அலர்ஜி பிரச்சனை: சிலருக்கு இந்த எண்ணெய் அலர்ஜி பிரச்சனையை ஏற்படுத்துகிறது.,AI
TAM_HUAI_TR_090,மிகுந்த கொட்டுதல்: எண்ணெய் பயன்படுத்திய பிறகு முடி அதிகமாக கொட்டுகிறது.,AI
TAM_HUAI_TR_091,"சிரமமான சுத்தம்: எண்ணெய் நன்கு சுத்தம் செய்யப்படாமல், அதை கழுவுவது சிரமமாக உள்ளது.",AI
TAM_HUAI_TR_092,விலை உயர்வு: இந்த எண்ணெயின் விலை மிகவும் அதிகமாக உள்ளது.,AI
TAM_HUAI_TR_093,தலை வலி: சிலர் இந்த எண்ணெயை பயன்படுத்திய பிறகு தலைவலியை அனுபவிக்கின்றனர்.,AI
TAM_HUAI_TR_094,விரைவாக கெட்டுப்போகும்: எண்ணெய் விரைவாக கெட்டுப்போகும் தன்மையுடையது.,AI
